time_ms,dist_mm,target_mmps,speedA_mmps,speedB_mmps,pwmA,pwmB
839368,18.3,-19.4,0.0,0.0,0.0,1077035669
839418,18.2,-1.6,0.0,0.0,0.0,1077030555
839468,17.8,-7.1,0.0,0.0,0.0,1077007315
839518,17.6,-5.0,0.0,0.0,0.0,1076991047
839568,17.4,-3.5,0.0,0.0,0.0,1076979659
839618,17.6,3.6,0.0,0.0,0.0,1076991348
839668,17.7,2.5,0.0,0.0,0.0,1076999531
839718,16.9,-16.3,0.0,0.0,0.0,1076946276
839768,16.9,0.6,0.0,0.0,0.0,1076948320
839818,16.3,-11.6,0.0,0.0,0.0,1076910428
839868,17.4,21.9,0.0,0.0,0.0,1076982209
839918,16.7,-14.7,0.0,0.0,0.0,1076934151
839968,17.4,13.7,0.0,0.0,0.0,1076979153
840018,17.9,9.6,0.0,0.0,0.0,1077010655
840068,18.8,18.7,0.0,0.0,0.0,1077072028
840118,18.6,-4.9,0.0,0.0,0.0,1077056007
840168,19.3,14.6,0.0,0.0,0.0,1077103774
840218,17.7,-31.8,0.0,0.0,0.0,1076999586
840268,18.4,13.7,0.0,0.0,0.0,1077044619
840318,18.3,-2.4,0.0,0.0,0.0,1077036820
840368,17.9,-7.7,0.0,0.0,0.0,1077011700
840418,17.0,-17.4,0.0,0.0,0.0,1076954795
840468,15.5,-30.2,0.0,0.0,0.0,1076824406
840518,17.5,38.9,0.0,0.0,0.0,1076983415
840568,17.6,3.2,0.0,0.0,0.0,1076993978
840618,17.4,-3.7,0.0,0.0,0.0,1076981711
840668,17.9,9.4,0.0,0.0,0.0,1077012445
840718,17.0,-17.4,0.0,0.0,0.0,1076955316
840768,17.6,11.8,0.0,0.0,0.0,1076993969
840818,16.5,-21.7,0.0,0.0,0.0,1076922722
840868,16.7,2.8,0.0,0.0,0.0,1076931832
840918,17.1,7.9,0.0,0.0,0.0,1076957869
840968,17.4,5.6,0.0,0.0,0.0,1076976096
841018,16.6,-14.1,0.0,0.0,0.0,1076929872
841068,16.5,-3.9,0.0,0.0,0.0,1076917176
841118,16.9,9.3,0.0,0.0,0.0,1076947610
841168,17.5,12.5,0.0,0.0,0.0,1076988575
841218,17.4,-3.2,0.0,0.0,0.0,1076977929
841268,17.3,-2.3,0.0,0.0,0.0,1076970476
841318,16.9,-7.6,0.0,0.0,0.0,1076945599
841368,16.9,0.7,0.0,0.0,0.0,1076947846
841418,16.3,-11.5,0.0,0.0,0.0,1076910097
841468,18.0,33.9,0.0,0.0,0.0,1077021298
841518,18.0,-0.2,0.0,0.0,0.0,1077020496
841568,18.0,-0.2,0.0,0.0,0.0,1077019934
841618,17.7,-6.1,0.0,0.0,0.0,1076999880
841668,18.7,19.7,0.0,0.0,0.0,1077064486
841718,17.9,-16.2,0.0,0.0,0.0,1077011405
841768,17.3,-11.3,0.0,0.0,0.0,1076974249
841818,17.2,-1.9,0.0,0.0,0.0,1076967901
841868,16.0,-25.4,0.0,0.0,0.0,1076882076
841918,17.2,24.3,0.0,0.0,0.0,1076964278
841968,17.4,5.0,0.0,0.0,0.0,1076980582
842018,17.6,3.5,0.0,0.0,0.0,1076991994
842068,17.7,2.4,0.0,0.0,0.0,1076999983
842118,18.1,7.7,0.0,0.0,0.0,1077025236
842168,18.4,5.4,0.0,0.0,0.0,1077042913
842218,18.9,9.8,0.0,0.0,0.0,1077074948
842268,19.5,12.8,0.0,0.0,0.0,1077117033
842318,18.8,-15.0,0.0,0.0,0.0,1077067849
842368,18.2,-10.5,0.0,0.0,0.0,1077033421
842418,18.5,4.6,0.0,0.0,0.0,1077048642
842468,18.6,3.3,0.0,0.0,0.0,1077059298
842518,18.4,-3.7,0.0,0.0,0.0,1077047095
842568,18.0,-8.6,0.0,0.0,0.0,1077018893
842618,18.6,12.0,0.0,0.0,0.0,1077058134
842668,18.4,-3.6,0.0,0.0,0.0,1077046281
842718,18.6,3.5,0.0,0.0,0.0,1077057644
842768,18.7,2.4,0.0,0.0,0.0,1077065599
842818,18.5,-4.3,0.0,0.0,0.0,1077051506
842868,19.0,9.0,0.0,0.0,0.0,1077080963
842918,20.2,24.3,0.0,0.0,0.0,1077160565
842968,20.1,-1.0,0.0,0.0,0.0,1077157304
843018,21.3,23.3,0.0,0.0,0.0,1077233665
843068,21.8,10.3,0.0,0.0,0.0,1077267457
843118,21.6,-4.8,0.0,0.0,0.0,1077251789
843168,21.1,-9.3,0.0,0.0,0.0,1077221161
843218,21.4,5.5,0.0,0.0,0.0,1077239043
843268,21.3,-2.2,0.0,0.0,0.0,1077231900
843318,21.2,-1.5,0.0,0.0,0.0,1077226899
843368,22.6,28.9,0.0,0.0,0.0,1077321703
843418,23.0,8.3,0.0,0.0,0.0,1077348744
843468,23.3,5.8,0.0,0.0,0.0,1077367673
843518,23.2,-2.0,0.0,0.0,0.0,1077361262
843568,23.8,10.6,0.0,0.0,0.0,1077396096
843618,24.4,13.4,0.0,0.0,0.0,1077440141
843668,24.6,3.4,0.0,0.0,0.0,1077451311
843718,23.5,-21.6,0.0,0.0,0.0,1077380487
843768,22.2,-27.1,0.0,0.0,0.0,1077291589
843818,22.7,11.0,0.0,0.0,0.0,1077327664
843868,23.4,13.7,0.0,0.0,0.0,1077372578
843918,23.3,-2.4,0.0,0.0,0.0,1077364695
843968,24.1,16.3,0.0,0.0,0.0,1077418160
844018,23.2,-18.6,0.0,0.0,0.0,1077357282
844068,22.5,-13.0,0.0,0.0,0.0,1077314667
844118,22.4,-3.1,0.0,0.0,0.0,1077304497
844168,23.2,15.8,0.0,0.0,0.0,1077356360
844218,23.4,5.1,0.0,0.0,0.0,1077373004
844268,23.9,9.6,0.0,0.0,0.0,1077404316
844318,23.6,-5.3,0.0,0.0,0.0,1077386912
844368,23.7,2.3,0.0,0.0,0.0,1077394390
844418,23.8,1.6,0.0,0.0,0.0,1077399625
844468,23.9,1.1,0.0,0.0,0.0,1077403289
844518,23.3,-11.2,0.0,0.0,0.0,1077366533
844568,23.8,10.1,0.0,0.0,0.0,1077399786
844618,23.3,-10.9,0.0,0.0,0.0,1077364080
844668,23.8,10.4,0.0,0.0,0.0,1077398069
844718,23.6,-4.7,0.0,0.0,0.0,1077382539
844768,24.0,8.7,0.0,0.0,0.0,1077410990
844818,24.0,0.1,0.0,0.0,0.0,1077411245
844868,24.0,0.1,0.0,0.0,0.0,1077411423
844918,23.1,-18.0,0.0,0.0,0.0,1077352566
844968,22.8,-6.6,0.0,0.0,0.0,1077331026
845018,22.8,1.4,0.0,0.0,0.0,1077335609
845068,23.5,13.0,0.0,0.0,0.0,1077378139
845118,23.6,3.1,0.0,0.0,0.0,1077388249
845168,24.9,26.2,0.0,0.0,0.0,1077473970
845218,25.0,0.3,0.0,0.0,0.0,1077474991
845268,25.0,0.0,0.0,0.0,0.0,1077474991
845318,24.4,-11.8,0.0,0.0,0.0,1077436385
845368,24.4,0.0,0.0,0.0,0.0,1077436385
845418,23.7,-14.2,0.0,0.0,0.0,1077389700
845468,23.7,0.0,0.0,0.0,0.0,1077389700
845518,23.5,-4.0,0.0,0.0,0.0,1077376681
845568,23.5,0.0,0.0,0.0,0.0,1077376681
845618,24.2,15.2,0.0,0.0,0.0,1077426550
845668,24.2,0.0,0.0,0.0,0.0,1077426550
845718,24.8,10.7,0.0,0.0,0.0,1077461459
845768,24.2,-10.5,0.0,0.0,0.0,1077426912
845818,24.2,-1.4,0.0,0.0,0.0,1077422390
845868,24.7,11.0,0.0,0.0,0.0,1077458547
845918,24.5,-4.3,0.0,0.0,0.0,1077444535
845968,24.3,-3.0,0.0,0.0,0.0,1077434726
846018,23.6,-14.1,0.0,0.0,0.0,1077388539
846068,23.8,2.1,0.0,0.0,0.0,1077395529
846118,24.4,13.5,0.0,0.0,0.0,1077439744
846168,24.6,3.4,0.0,0.0,0.0,1077451033
846218,25.0,8.4,0.0,0.0,0.0,1077478597
846268,24.7,-6.1,0.0,0.0,0.0,1077458570
846318,25.1,7.7,0.0,0.0,0.0,1077483872
846368,24.8,-6.6,0.0,0.0,0.0,1077462262
846418,23.6,-22.6,0.0,0.0,0.0,1077388153
846468,24.6,20.2,0.0,0.0,0.0,1077454242
846518,24.8,2.1,0.0,0.0,0.0,1077461182
846568,24.8,1.5,0.0,0.0,0.0,1077466040
846618,24.6,-5.0,0.0,0.0,0.0,1077449780
846668,24.4,-3.5,0.0,0.0,0.0,1077438398
846718,24.0,-8.4,0.0,0.0,0.0,1077410769
846768,24.3,6.1,0.0,0.0,0.0,1077430751
846818,24.2,-1.7,0.0,0.0,0.0,1077425078
846868,24.4,4.8,0.0,0.0,0.0,1077440767
846918,24.6,3.4,0.0,0.0,0.0,1077451750
846968,24.4,-3.7,0.0,0.0,0.0,1077439777
847018,23.7,-14.6,0.0,0.0,0.0,1077392074
847068,25.3,31.8,0.0,0.0,0.0,1077496308
847118,24.6,-13.7,0.0,0.0,0.0,1077451306
847168,25.6,20.4,0.0,0.0,0.0,1077518110
847218,26.0,8.3,0.0,0.0,0.0,1077545211
847268,26.3,5.8,0.0,0.0,0.0,1077564182
847318,27.1,16.1,0.0,0.0,0.0,1077616783
847368,27.7,11.2,0.0,0.0,0.0,1077653604
847418,27.5,-4.1,0.0,0.0,0.0,1077640057
847468,28.5,21.1,0.0,0.0,0.0,1077709217
847518,28.4,-3.2,0.0,0.0,0.0,1077698647
847568,28.3,-2.3,0.0,0.0,0.0,1077691248
847618,27.9,-7.6,0.0,0.0,0.0,1077666408
847668,27.6,-5.3,0.0,0.0,0.0,1077649020
847718,27.1,-9.7,0.0,0.0,0.0,1077617187
847768,28.0,17.2,0.0,0.0,0.0,1077673548
847818,28.0,0.0,0.0,0.0,0.0,1077673679
847868,26.8,-24.0,0.0,0.0,0.0,1077595127
847918,28.1,25.2,0.0,0.0,0.0,1077677766
847968,27.4,-12.3,0.0,0.0,0.0,1077637310
848018,27.6,3.4,0.0,0.0,0.0,1077648312
848068,27.7,2.4,0.0,0.0,0.0,1077656013
848118,27.8,1.6,0.0,0.0,0.0,1077661404
848168,27.0,-16.8,0.0,0.0,0.0,1077606196
