time_ms,phase,target_mmps,speedA_mmps,speedB_mmps,pwmA,pwmB
64931,1,109.9,118.8,59.4,58,52
64981,1,111.4,118.8,89.1,50,55
65031,1,112.9,74.3,89.1,53,65
65081,1,114.4,89.1,133.7,45,63
65131,1,115.8,74.3,133.7,63,49
65181,1,117.3,59.4,118.8,69,53
65231,1,118.8,118.8,74.3,59,62
65281,1,120.3,104.0,104.0,62,59
65331,1,121.8,104.0,89.1,64,63
65381,1,123.3,104.0,104.0,66,61
65431,1,124.7,133.7,118.8,62,57
65481,1,126.2,118.8,104.0,67,59
65531,1,127.7,118.8,118.8,67,58
65581,1,129.2,118.8,104.0,60,71
65631,1,130.7,118.8,133.7,56,70
65681,1,132.2,104.0,163.4,63,60
65731,1,133.7,89.1,148.5,67,64
65781,1,135.1,118.8,118.8,60,73
65831,1,136.6,133.7,148.5,56,69
65881,1,138.1,104.0,148.5,74,59
65931,1,139.6,118.8,133.7,75,60
65981,1,141.1,133.7,104.0,71,69
66031,1,142.6,148.5,118.8,69,67
66081,1,144.1,133.7,148.5,72,62
66131,1,145.5,163.4,133.7,64,68
66181,1,147.0,148.5,133.7,68,67
66231,2,148.5,118.8,133.7,75,69
66281,2,148.5,133.7,133.7,75,68
66331,2,148.5,118.8,148.5,80,65
66381,2,148.5,133.7,133.7,76,70
66431,2,148.5,133.7,133.7,79,70
66481,2,148.5,133.7,148.5,78,68
66531,2,148.5,148.5,148.5,75,68
66581,2,148.5,148.5,148.5,76,67
66631,2,148.5,133.7,133.7,80,71
66681,2,148.5,148.5,148.5,76,69
66731,2,148.5,163.4,163.4,71,66
66781,2,148.5,133.7,133.7,78,73
66831,2,148.5,148.5,148.5,74,71
66881,2,148.5,148.5,148.5,75,70
66931,2,148.5,148.5,148.5,75,70
66981,2,148.5,148.5,148.5,73,71
67031,2,148.5,163.4,148.5,71,70
67081,2,148.5,148.5,163.4,73,67
67131,2,148.5,148.5,148.5,74,69
67181,2,148.5,148.5,148.5,74,69
67231,2,148.5,148.5,148.5,74,69
67281,2,148.5,148.5,163.4,74,66
67331,2,148.5,148.5,148.5,73,69
67381,2,148.5,148.5,133.7,73,73
67431,2,148.5,133.7,148.5,78,69
67481,2,148.5,148.5,148.5,75,69
67531,2,148.5,163.4,133.7,72,72
67581,2,148.5,133.7,133.7,78,74
67631,2,148.5,148.5,133.7,74,75
67681,2,148.5,148.5,133.7,75,75
67731,2,148.5,148.5,148.5,75,72
67781,2,148.5,148.5,133.7,72,79
67831,2,148.5,133.7,148.5,80,72
67881,2,148.5,148.5,163.4,75,69
67931,2,148.5,163.4,148.5,71,73
67981,2,148.5,133.7,163.4,79,68
68031,2,148.5,133.7,163.4,79,68
68081,2,148.5,74.3,148.5,96,70
68131,2,148.5,-772.3,133.7,200,72
68181,2,148.5,846.5,133.7,-92,70
68231,2,148.5,59.4,118.8,60,85
68281,2,148.5,356.4,133.7,-20,77
68331,2,148.5,-14.9,133.7,74,82
68381,2,148.5,-4366.2,148.5,200,76
68431,2,148.5,1366.3,148.5,-200,74
68481,2,148.5,-104.0,118.8,30,97
68531,2,148.5,118.8,163.4,0,75
68581,2,148.5,-14.9,193.1,31,70
68631,2,148.5,0.0,148.5,39,76
68681,2,148.5,0.0,163.4,47,73
68731,2,148.5,14.9,148.5,53,74
68781,2,148.5,59.4,148.5,52,71
68831,2,148.5,89.1,163.4,51,65
68881,2,148.5,104.0,148.5,51,67
68931,2,148.5,118.8,163.4,50,63
68981,2,148.5,118.8,163.4,51,63
69031,2,148.5,118.8,163.4,50,64
69081,2,148.5,104.0,163.4,55,65
69131,2,148.5,104.0,163.4,57,64
69181,2,148.5,118.8,178.2,56,59
69231,2,148.5,118.8,148.5,58,65
69281,2,148.5,133.7,148.5,56,65
69331,2,148.5,118.8,163.4,60,62
69381,2,148.5,118.8,163.4,61,61
69431,2,148.5,148.5,148.5,56,63
69481,2,148.5,133.7,148.5,59,64
69531,2,148.5,133.7,163.4,60,60
69581,2,148.5,133.7,148.5,62,62
69631,2,148.5,133.7,148.5,61,64
69681,2,148.5,133.7,148.5,62,63
69731,2,148.5,133.7,148.5,63,63
69781,2,148.5,148.5,148.5,61,62
69831,2,148.5,133.7,133.7,65,66
69881,2,148.5,133.7,163.4,65,60
